state_name,district_name,block_tehsil_name,village_name,s_no_of_scheme,ref_scheme_type_surface_flow_name,ref_scheme_type_surface_lift_name,ref_scheme_owner_name,total_owners_holding,ref_scheme_owner_social_status_name,gender_name,commissioning_period_display,scheme_construction_cost,scheme_machinery_cost,scheme_maintainence_cost,finance_source_name,finance_source_name2,construction_subsidy,machinery_subsidy,scheme_status_name,not_in_use_years,scheme_status_reason_temporarily_name,scheme_status_reason_permanently_name,water_distribution_method_name,lifting_device_type_name,lifting_device_enrgy_source_name,horse_power_of_lifting_device,pump_operating_days_kharif_season,pump_operating_days_rabi_season,pump_operating_days_perennial_season,pump_operating_days_other_season,avg_pumping_per_day_kharif_season,avg_pumping_per_day_rabi_season,avg_pumping_per_day_perennial_season,avg_pumping_per_day_other_season,ref_selection_id_located_in_major_medium_scheme_name,command_area_name,ref_reason_command_area_name,ref_scheme_recharge_of_ground_water_name,culturable_command_area,ipc_kharif_season,ipc_rabi_season,ipc_perennial_season,ipc_other_season,ipc_total,ipu_kharif_season,ipu_rabi_season,ipu_perennial_season,ipu_other_season,ipu_total,ref_selection_id_under_utilisation_name,ref_reason_for_under_utilisation_name,scheme_designed_storage,ref_filled_up_storage_name,ref_filled_up_storage_space_name,villages_covered,s_no_scheme_within_village_in_water_body,total_no_of_schemes_in_village_above_water_body
UTTARAKHAND,CHAMPAWAT,PATI,Simalkhet,2,NA,On-River,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,200000,0,NA,NA,0,0,Permanently Not in use,6,NA,Destroyed beyond repair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,No,12,10,8,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,CHAMPAWAT,CHAMPAWAT,Goli,4,NA,On-Stream,Govt. Owned,NA,NA,NA,Up to 2013-2014,20000,200000,0,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Others,Others,5,40,30,20,20,8,6,2,2,Yes,NA,NA,No,12,8,6,2,2,18,8,6,1,1,16,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,CHAMPAWAT,CHAMPAWAT,Bhageena Bhandari,3,NA,Others,Others,NA,NA,NA,Up to 2013-2014,200000,200000,0,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Others,Others,5,45,40,30,30,6,4,1,1,Yes,NA,NA,No,12,8,6,1,1,16,8,6,1,1,16,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,UTTARKASHI,MORI,PAWALI,7,NA,On-River,Govt. Owned,NA,NA,NA,During 2014-2015,700000,0,0,NA,NA,700000,0,In-Use,NA,NA,NA,Surface pipe,Others,Others,0,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,6,4.5,4,0,1.5,10,4.5,4,0,1.5,10,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,UTTARKASHI,MORI,KUKREDA,6,NA,On-River,Govt. Owned,NA,NA,NA,During 2014-2015,850000,0,0,NA,NA,850000,0,In-Use,NA,NA,NA,Surface pipe,Others,Others,0,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,10,7,5,0,1,13,7,5,0,1,13,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,UTTARKASHI,MORI,KUKREDA,7,NA,On-River,Govt. Owned,NA,NA,NA,During 2014-2015,650000,0,0,NA,NA,650000,0,In-Use,NA,NA,NA,Surface pipe,Others,Others,0,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,5,4.2,3.8,0,1.2,9.2,4.2,3.8,0,1.2,9.2,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,NANITAL,DHARI,AKSORA,2,NA,On-River,Govt. Owned,NA,NA,NA,During 2014-2015,200000,150000,20000,NA,NA,0,0,In-Use,NA,NA,NA,Under ground pipe,Others,Others,5,90,70,40,20,8,6,5,4,Yes,NA,NA,No,16,10,10,0,4,24,8,8,0,3,19,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,NANITAL,RAMGARH,SURALGAON,1,NA,On-River,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,180000,0,NA,NA,0,0,Permanently Not in use,5,NA,Destroyed beyond repair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,No,10,6,4,2,4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,PAURI,KALJIKHAL,DHASRIN HAON,1,NA,On-River,Panchayat Owned,NA,NA,NA,Up to 2013-2014,2340000,0,0,NA,NA,0,0,Permanently Not in use,4,NA,Due to other reasons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,No,36,28.8,23.4,0,10.8,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
UTTARAKHAND,NANITAL,RAMGARH,LWESHAL,19,NA,On-River,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,190000,0,NA,NA,0,0,Permanently Not in use,5,NA,Destroyed beyond repair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,No,12,6,5,3,4.86,18.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
